run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
2,2002,34,3432,496.3,496.3,465.248,1
2,2002,36,3628,496.3,496.3,472.918,1
2,2002,38,3824,496.3,496.3,472.236,1
2,2002,40,4020,496.3,496.3,476.584,1
2,2002,42,4216,500.6,500.6,469.952,1
2,2002,44,4412,500.6,500.6,472.675,1
2,2002,46,4608,500.6,500.6,471.832,1
2,2002,48,4804,500.6,500.6,472.778,1
2,2002,50,5000,500.6,500.6,473.815,1
2,2002,52,5196,500.6,500.6,468.269,1
2,2002,54,5392,503.2,503.2,471.378,1
2,2002,56,5588,503.2,503.2,474.022,1
2,2002,58,5784,503.2,503.2,474.51,1
2,2002,60,5980,503.2,503.2,471.231,1
2,2002,62,6176,503.2,503.2,476.562,1
2,2002,64,6372,503.2,503.2,477.149,1
2,2002,66,6568,503.2,503.2,478.83,1
2,2002,68,6764,503.2,503.2,480.452,1
2,2002,70,6960,503.2,503.2,478.973,1
2,2002,72,7156,503.2,503.2,479.082,1
2,2002,74,7352,503.5,503.5,476.503,1
2,2002,76,7548,505.5,505.5,476.841,1
2,2002,78,7744,511.9,511.9,469.412,1
2,2002,80,7940,511.9,511.9,468.164,1
2,2002,82,8136,519.8,519.8,468.303,1
2,2002,84,8332,519.8,519.8,468.992,1
2,2002,86,8528,519.8,519.8,467.038,1
2,2002,88,8724,519.8,519.8,459.252,1
2,2002,90,8920,519.8,519.8,470.525,1
2,2002,92,9116,519.8,519.8,472.2,1
2,2002,94,9312,521.8,521.8,483.184,1
2,2002,96,9508,521.8,521.8,486.549,1
2,2002,98,9704,521.8,521.8,493.384,1
2,2002,100,9900,521.8,521.8,492.981,1
2,2002,102,10096,521.8,521.8,498.328,1
2,2002,104,10292,521.8,521.8,491.337,1
2,2002,106,10488,521.8,521.8,491.96,1
2,2002,108,10684,521.8,521.8,499.359,1
2,2002,110,10880,521.8,521.8,503.045,1
2,2002,112,11076,521.8,521.8,500.224,1
2,2002,114,11272,521.8,521.8,495.17,1
2,2002,116,11468,521.8,521.8,502.252,1
2,2002,118,11664,521.8,521.8,493.639,1
2,2002,120,11860,521.8,521.8,499.674,1
2,2002,122,12056,521.8,521.8,497.222,1
2,2002,124,12252,521.8,521.8,496.168,1
2,2002,126,12448,521.8,521.8,493.377,1
2,2002,128,12644,521.8,521.8,495.426,1
2,2002,130,12840,521.8,521.8,497.573,1
2,2002,132,13036,521.8,521.8,501.555,1
2,2002,134,13232,521.8,521.8,498.639,1
2,2002,136,13428,521.8,521.8,498.259,1
2,2002,138,13624,521.8,521.8,493.252,1
2,2002,140,13820,521.8,521.8,497.242,1
2,2002,142,14016,521.8,521.8,501.441,1
2,2002,144,14212,521.8,521.8,496.398,1
2,2002,146,14408,521.8,521.8,498.339,1
2,2002,148,14604,521.8,521.8,501.878,1
2,2002,150,14800,521.8,521.8,498.215,1
2,2002,152,14996,521.8,521.8,499.458,1
2,2002,154,15192,521.8,521.8,499.38,1
2,2002,156,15388,521.8,521.8,496.899,1
2,2002,158,15584,521.8,521.8,497.45,1
2,2002,160,15780,521.8,521.8,497.61,1
2,2002,162,15976,521.8,521.8,496.291,1
2,2002,164,16172,521.8,521.8,498.605,1
2,2002,166,16368,521.8,521.8,489.607,1
2,2002,168,16564,521.8,521.8,496.234,1
2,2002,170,16760,521.8,521.8,494.046,1
2,2002,172,16956,521.8,521.8,503.738,1
2,2002,174,17152,521.8,521.8,503.515,1
2,2002,176,17348,521.8,521.8,502.084,1
2,2002,178,17544,521.8,521.8,491.869,1
2,2002,180,17740,521.8,521.8,496.179,1
2,2002,182,17936,521.8,521.8,498.956,1
2,2002,184,18132,521.8,521.8,501.286,1
2,2002,186,18328,521.8,521.8,498.663,1
2,2002,188,18524,521.8,521.8,499.234,1
2,2002,190,18720,521.8,521.8,493.676,1
2,2002,192,18916,521.8,521.8,501.275,1
2,2002,194,19112,521.8,521.8,500.814,1
2,2002,196,19308,521.8,521.8,502.133,1
2,2002,198,19504,521.8,521.8,501.899,1
2,2002,200,19700,521.8,521.8,497.669,1
2,2002,202,19896,521.8,521.8,488.949,1
2,2002,204,20000,521.8,521.8,509.775,1
3,2003,0,100,343,343,169.362,1
3,2003,2,296,354,354,254.183,1
3,2003,4,492,411,411,314.685,1
3,2003,6,688,443.3,443.3,362.168,1
3,2003,8,884,447.6,447.6,383.735,1
3,2003,10,1080,464.3,464.3,407.199,1
3,2003,12,1276,465.7,465.7,422.719,1
3,2003,14,1472,472.7,472.7,437.986,1
3,2003,16,1668,474.4,474.4,444.785,1
3,2003,18,1864,480.9,480.9,455.176,1
3,2003,20,2060,480.9,480.9,462.361,1
3,2003,22,2256,480.9,480.9,457.186,1
3,2003,24,2452,480.9,480.9,458.744,1
3,2003,26,2648,480.9,480.9,457.366,1
3,2003,28,2844,480.9,480.9,459.334,1
3,2003,30,3040,480.9,480.9,458.709,1
3,2003,32,3236,480.9,480.9,460.562,1
3,2003,34,3432,480.9,480.9,459.528,1
3,2003,36,3628,480.9,480.9,457.508,1
3,2003,38,3824,480.9,480.9,459.408,1
3,2003,40,4020,480.9,480.9,457.227,1
3,2003,42,4216,480.9,480.9,458.509,1
3,2003,44,4412,480.9,480.9,453.537,1
3,2003,46,4608,480.9,480.9,457.392,1
3,2003,48,4804,480.9,480.9,458.32,1
3,2003,50,5000,480.9,480.9,463.017,1
3,2003,52,5196,480.9,480.9,455.804,1
3,2003,54,5392,486.7,486.7,461.871,1
3,2003,56,5588,496,496,456.376,1
3,2003,58,5784,496,496,455.107,1
3,2003,60,5980,503,503,457.085,1
3,2003,62,6176,503,503,452.662,1
3,2003,64,6372,503,503,460.669,1
3,2003,66,6568,513.3,513.3,472.832,1
3,2003,68,6764,513.3,513.3,479.459,1
3,2003,70,6960,521.8,521.8,481.316,1
3,2003,72,7156,521.8,521.8,482.432,1
3,2003,74,7352,521.8,521.8,486.129,1
3,2003,76,7548,521.8,521.8,487.201,1
3,2003,78,7744,521.8,521.8,493.644,1
3,2003,80,7940,521.8,521.8,493.56,1
3,2003,82,8136,521.8,521.8,499.064,1
3,2003,84,8332,521.8,521.8,499.708,1
3,2003,86,8528,521.8,521.8,496.258,1
3,2003,88,8724,521.8,521.8,498.865,1
3,2003,90,8920,521.8,521.8,502.217,1
3,2003,92,9116,521.8,521.8,498.599,1
3,2003,94,9312,521.8,521.8,494.774,1
3,2003,96,9508,521.8,521.8,497.208,1
3,2003,98,9704,521.8,521.8,498.457,1
3,2003,100,9900,521.8,521.8,502.61,1
3,2003,102,10096,521.8,521.8,499.286,1
3,2003,104,10292,521.8,521.8,497.192,1
3,2003,106,10488,521.8,521.8,494.919,1
3,2003,108,10684,521.8,521.8,494.37,1
3,2003,110,10880,521.8,521.8,497.232,1
3,2003,112,11076,521.8,521.8,495.529,1
3,2003,114,11272,521.8,521.8,497.528,1
3,2003,116,11468,521.8,521.8,497.43,1
3,2003,118,11664,521.8,521.8,497.782,1
3,2003,120,11860,521.8,521.8,495.745,1
3,2003,122,12056,521.8,521.8,500.584,1
3,2003,124,12252,521.8,521.8,498.438,1
3,2003,126,12448,521.8,521.8,500.038,1
3,2003,128,12644,521.8,521.8,498.039,1
3,2003,130,12840,521.8,521.8,496.906,1
3,2003,132,13036,521.8,521.8,499.317,1
3,2003,134,13232,521.8,521.8,496.557,1
3,2003,136,13428,521.8,521.8,497.873,1
3,2003,138,13624,521.8,521.8,489.691,1
3,2003,140,13820,521.8,521.8,496.278,1
3,2003,142,14016,521.8,521.8,498.771,1
3,2003,144,14212,521.8,521.8,496.719,1
3,2003,146,14408,521.8,521.8,500.536,1
3,2003,148,14604,521.8,521.8,500.216,1
3,2003,150,14800,521.8,521.8,492.949,1
3,2003,152,14996,521.8,521.8,500.146,1
3,2003,154,15192,521.8,521.8,497.389,1
3,2003,156,15388,521.8,521.8,499.427,1
3,2003,158,15584,521.8,521.8,496.832,1
3,2003,160,15780,521.8,521.8,499.186,1
3,2003,162,15976,521.8,521.8,494.568,1
3,2003,164,16172,521.8,521.8,498.816,1
3,2003,166,16368,521.8,521.8,499.122,1
3,2003,168,16564,521.8,521.8,497.459,1
3,2003,170,16760,521.8,521.8,496.923,1
3,2003,172,16956,521.8,521.8,492.487,1
3,2003,174,17152,521.8,521.8,499.535,1
3,2003,176,17348,521.8,521.8,487.76,1
3,2003,178,17544,521.8,521.8,497.894,1
3,2003,180,17740,521.8,521.8,493.148,1
3,2003,182,17936,521.8,521.8,492.449,1
3,2003,184,18132,521.8,521.8,495.365,1
3,2003,186,18328,521.8,521.8,497.694,1
3,2003,188,18524,521.8,521.8,495.961,1
3,2003,190,18720,521.8,521.8,502.984,1
3,2003,192,18916,521.8,521.8,499.973,1
3,2003,194,19112,521.8,521.8,494.445,1
3,2003,196,19308,521.8,521.8,491.763,1
3,2003,198,19504,521.8,521.8,490.649,1
3,2003,200,19700,521.8,521.8,493.795,1
3,2003,202,19896,521.8,521.8,500.536,1
3,2003,204,20000,521.8,521.8,506.725,1
4,2004,0,100,330.5,330.5,191.027,1
4,2004,2,296,369.8,369.8,279.908,1
4,2004,4,492,422.2,422.2,328.674,1
4,2004,6,688,424.1,424.1,367.356,1
4,2004,8,884,445.6,445.6,391.804,1
4,2004,10,1080,466.3,466.3,400.687,1
4,2004,12,1276,472.8,472.8,418.38,1
4,2004,14,1472,478.6,478.6,435.943,1
4,2004,16,1668,478.6,478.6,446.577,1
4,2004,18,1864,485.2,485.2,452.911,1
4,2004,20,2060,489.8,489.8,458.773,1
4,2004,22,2256,496.3,496.3,460.07,1
4,2004,24,2452,496.3,496.3,461.598,1
4,2004,26,2648,503.2,503.2,465.007,1
4,2004,28,2844,503.2,503.2,470.244,1
4,2004,30,3040,503.2,503.2,468.429,1
4,2004,32,3236,503.2,503.2,471.549,1
4,2004,34,3432,503.2,503.2,467.638,1
4,2004,36,3628,503.2,503.2,464.06,1
4,2004,38,3824,503.2,503.2,462.709,1
4,2004,40,4020,503.2,503.2,461.856,1
4,2004,42,4216,503.2,503.2,460.158,1
4,2004,44,4412,503.2,503.2,456.676,1
4,2004,46,4608,503.2,503.2,462.418,1
4,2004,48,4804,503.2,503.2,468.779,1
4,2004,50,5000,503.2,503.2,470.793,1
4,2004,52,5196,503.2,503.2,475.243,1
4,2004,54,5392,503.2,503.2,475.435,1
4,2004,56,5588,503.2,503.2,483.91,1
4,2004,58,5784,503.2,503.2,478.731,1
4,2004,60,5980,503.2,503.2,481.177,1
4,2004,62,6176,503.2,503.2,478.968,1
4,2004,64,6372,503.2,503.2,485.403,1
4,2004,66,6568,503.2,503.2,483.424,1
4,2004,68,6764,503.2,503.2,479.665,1
4,2004,70,6960,503.2,503.2,478.782,1
4,2004,72,7156,503.2,503.2,480.866,1
4,2004,74,7352,503.2,503.2,478.368,1
4,2004,76,7548,503.2,503.2,480.56,1
4,2004,78,7744,503.2,503.2,480.991,1
4,2004,80,7940,503.2,503.2,480.317,1
4,2004,82,8136,503.2,503.2,479.33,1
4,2004,84,8332,503.2,503.2,477.184,1
4,2004,86,8528,503.2,503.2,482.119,1
4,2004,88,8724,503.2,503.2,480.257,1
4,2004,90,8920,503.2,503.2,478.923,1
4,2004,92,9116,503.2,503.2,482.131,1
4,2004,94,9312,503.2,503.2,481.056,1
4,2004,96,9508,503.2,503.2,478.875,1
4,2004,98,9704,503.2,503.2,476.341,1
4,2004,100,9900,503.2,503.2,480.817,1
4,2004,102,10096,503.2,503.2,482.092,1
4,2004,104,10292,503.2,503.2,481.975,1
4,2004,106,10488,503.2,503.2,483.08,1
4,2004,108,10684,503.2,503.2,481.379,1
4,2004,110,10880,503.2,503.2,481.093,1
4,2004,112,11076,503.2,503.2,480.24,1
4,2004,114,11272,503.2,503.2,479.398,1
4,2004,116,11468,503.2,503.2,481.677,1
4,2004,118,11664,503.2,503.2,478.817,1
4,2004,120,11860,503.2,503.2,483.739,1
4,2004,122,12056,503.2,503.2,480.46,1
4,2004,124,12252,503.2,503.2,480.97,1
4,2004,126,12448,503.2,503.2,483.078,1
4,2004,128,12644,503.2,503.2,480.067,1
4,2004,130,12840,503.2,503.2,480.869,1
4,2004,132,13036,503.2,503.2,477.824,1
4,2004,134,13232,503.2,503.2,478.375,1
4,2004,136,13428,503.2,503.2,475.974,1
4,2004,138,13624,503.2,503.2,482.257,1
4,2004,140,13820,503.2,503.2,485.041,1
4,2004,142,14016,503.2,503.2,482.669,1
4,2004,144,14212,503.2,503.2,480.463,1
4,2004,146,14408,503.2,503.2,479.446,1
4,2004,148,14604,503.2,503.2,481.894,1
4,2004,150,14800,503.2,503.2,476.773,1
4,2004,152,14996,503.2,503.2,482.155,1
4,2004,154,15192,503.2,503.2,480.725,1
4,2004,156,15388,503.2,503.2,478.852,1
4,2004,158,15584,503.2,503.2,476.776,1
4,2004,160,15780,503.2,503.2,479.886,1
4,2004,162,15976,503.2,503.2,479.446,1
4,2004,164,16172,503.2,503.2,477.941,1
4,2004,166,16368,503.2,503.2,482.406,1
4,2004,168,16564,503.2,503.2,479.688,1
4,2004,170,16760,503.2,503.2,482.886,1
4,2004,172,16956,503.2,503.2,484.08,1
4,2004,174,17152,503.2,503.2,479.626,1
4,2004,176,17348,503.2,503.2,481.088,1
4,2004,178,17544,503.2,503.2,478.468,1
4,2004,180,17740,503.2,503.2,481.854,1
4,2004,182,17936,503.2,503.2,484.09,1
4,2004,184,18132,503.2,503.2,482.512,1
4,2004,186,18328,503.2,503.2,477.767,1
4,2004,188,18524,503.2,503.2,478.268,1
4,2004,190,18720,503.2,503.2,478.53,1
4,2004,192,18916,503.2,503.2,475.671,1
4,2004,194,19112,503.2,503.2,482.887,1
4,2004,196,19308,503.2,503.2,475.479,1
4,2004,198,19504,503.2,503.2,482.945,1
4,2004,200,19700,503.2,503.2,477.526,1
4,2004,202,19896,503.2,503.2,480.025,1
4,2004,204,20000,503.2,503.2,479.55,1
5,2005,0,100,290.8,290.8,174.809,1
5,2005,2,296,378,378,249.662,1
5,2005,4,492,391.2,391.2,324.174,1
5,2005,6,688,421.1,421.1,354.878,1
5,2005,8,884,439.1,439.1,379.72,1
5,2005,10,1080,466.8,466.8,395.543,1
5,2005,12,1276,470.3,470.3,405.603,1
5,2005,14,1472,470.3,470.3,427.864,1
5,2005,16,1668,473.3,473.3,446.659,1
5,2005,18,1864,476.5,476.5,455.683,1
5,2005,20,2060,476.5,476.5,453.885,1
5,2005,22,2256,476.5,476.5,455.315,1
5,2005,24,2452,476.5,476.5,454.163,1
5,2005,26,2648,476.5,476.5,451.785,1
5,2005,28,2844,481.1,481.1,457.985,1
5,2005,30,3040,481.1,481.1,457.02,1
5,2005,32,3236,489.3,489.3,454.351,1
5,2005,34,3432,496.3,496.3,455.761,1
5,2005,36,3628,496.3,496.3,457.085,1
5,2005,38,3824,496.3,496.3,464.705,1
5,2005,40,4020,496.3,496.3,463.958,1
5,2005,42,4216,496.3,496.3,470.983,1
5,2005,44,4412,496.3,496.3,474.625,1
5,2005,46,4608,496.3,496.3,474.971,1
5,2005,48,4804,496.3,496.3,471.537,1
5,2005,50,5000,496.3,496.3,474.43,1
5,2005,52,5196,496.3,496.3,475.434,1
5,2005,54,5392,496.3,496.3,473.748,1
5,2005,56,5588,496.3,496.3,476.419,1
5,2005,58,5784,496.3,496.3,475.239,1
5,2005,60,5980,496.3,496.3,479.315,1
5,2005,62,6176,496.3,496.3,476.6,1
