run,seed,gen,evals,best_so_far,pop_best,pop_mean,feasible_frac
1,2001,104,10292,523.2,523.2,508.887,1
1,2001,106,10488,523.2,523.2,510.671,1
1,2001,108,10684,523.2,523.2,511.173,1
1,2001,110,10880,523.2,523.2,510.875,1
1,2001,112,11076,523.2,523.2,507.853,1
1,2001,114,11272,523.2,523.2,515.866,1
1,2001,116,11468,523.2,523.2,509.642,1
1,2001,118,11664,523.2,523.2,511.772,1
1,2001,120,11860,523.2,523.2,514.798,1
1,2001,122,12056,523.2,523.2,510.663,1
1,2001,124,12252,523.2,523.2,511.122,1
1,2001,126,12448,523.2,523.2,513.309,1
1,2001,128,12644,523.2,523.2,512.944,1
1,2001,130,12840,523.2,523.2,513.164,1
1,2001,132,13036,523.2,523.2,510.216,1
1,2001,134,13232,523.2,523.2,510.291,1
1,2001,136,13428,523.2,523.2,513.673,1
1,2001,138,13624,523.2,523.2,512.793,1
1,2001,140,13820,523.2,523.2,508.677,1
1,2001,142,14016,523.2,523.2,512.434,1
1,2001,144,14212,523.2,523.2,512.759,1
1,2001,146,14408,523.2,523.2,510.245,1
1,2001,148,14604,523.2,523.2,513.225,1
1,2001,150,14800,523.2,523.2,513.062,1
1,2001,152,14996,523.2,523.2,513.491,1
1,2001,154,15192,523.2,523.2,508.451,1
1,2001,156,15388,523.2,523.2,512.168,1
1,2001,158,15584,523.2,523.2,510.332,1
1,2001,160,15780,523.2,523.2,512.75,1
1,2001,162,15976,523.2,523.2,510.141,1
1,2001,164,16172,523.2,523.2,508.478,1
1,2001,166,16368,523.2,523.2,510.947,1
1,2001,168,16564,523.2,523.2,508.174,1
1,2001,170,16760,523.2,523.2,509.343,1
1,2001,172,16956,523.2,523.2,510.703,1
1,2001,174,17152,523.2,523.2,511.739,1
1,2001,176,17348,523.2,523.2,510.435,1
1,2001,178,17544,523.2,523.2,511.679,1
1,2001,180,17740,523.2,523.2,511.482,1
1,2001,182,17936,523.2,523.2,509.681,1
1,2001,184,18132,523.2,523.2,509.208,1
1,2001,186,18328,523.2,523.2,512.563,1
1,2001,188,18524,523.2,523.2,510.227,1
1,2001,190,18720,523.2,523.2,506.786,1
1,2001,192,18916,523.2,523.2,512.772,1
1,2001,194,19112,523.2,523.2,507.105,1
1,2001,196,19308,523.2,523.2,508.073,1
1,2001,198,19504,523.2,523.2,510.061,1
1,2001,200,19700,523.2,523.2,510.09,1
1,2001,202,19896,523.2,523.2,512.716,1
1,2001,204,20000,523.2,523.2,508.513,1
2,2002,0,100,496.1,496.1,432.906,1
2,2002,2,296,521.8,521.8,489.858,1
2,2002,4,492,523.2,523.2,505.929,1
2,2002,6,688,523.2,523.2,515.478,1
2,2002,8,884,523.2,523.2,514.121,1
2,2002,10,1080,523.2,523.2,510.924,1
2,2002,12,1276,523.2,523.2,513.861,1
2,2002,14,1472,523.2,523.2,514.563,1
2,2002,16,1668,523.2,523.2,508.692,1
2,2002,18,1864,523.2,523.2,508.171,1
2,2002,20,2060,523.2,523.2,508.396,1
2,2002,22,2256,523.2,523.2,510.487,1
2,2002,24,2452,523.2,523.2,512.628,1
2,2002,26,2648,523.2,523.2,509.135,1
2,2002,28,2844,523.2,523.2,511.906,1
2,2002,30,3040,523.2,523.2,509.133,1
2,2002,32,3236,523.2,523.2,508.545,1
2,2002,34,3432,523.2,523.2,512.488,1
2,2002,36,3628,523.2,523.2,508.99,1
2,2002,38,3824,523.2,523.2,508.478,1
2,2002,40,4020,523.2,523.2,509.189,1
2,2002,42,4216,523.2,523.2,510.131,1
2,2002,44,4412,523.2,523.2,512.939,1
2,2002,46,4608,523.2,523.2,513.515,1
2,2002,48,4804,523.2,523.2,512.659,1
2,2002,50,5000,523.2,523.2,510.45,1
2,2002,52,5196,523.2,523.2,510.993,1
