run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
20,4020,0.379529,0.354266,0.402944,0.36629,83,15,20000,100,1109825,3.46412,1.15429,0.322786,log(((sin(sin((-0.23 + cos(((sin((x0 * x1)) - log((x1 / 0.69))) - sin(sin(cos(sin(0.312))))))))) * (-0.866 + cos((((sin((-0.866 + cos(log((x0 * x1))))) * sin((((sin((x0 * x1)) - log((x1 / 0.69))) - sin(sin(cos((x0 * x1))))) - x1))) * ((((-0.355 * x1) - x1) - log((x1 / 0.69))) - sin(sin(cos((x0 * x1)))))) * cos((log(-0.296) + (x0 * -0.567))))))) - (x0 * x1)))
21,4021,0.153356,0.173311,0.159869,0.306876,213,17,20000,100,2254908,7.61135,1.14718,0.0393361,(((cos(0.946) * ((log(log((-0.674 - (log(exp(sin(log(x1)))) / -0.728)))) + exp((log(exp(0.946)) + log(log((log(x0) + log(-0.674))))))) + (log(exp(sin(log(x1)))) / -0.728))) + exp(sin(log(x1)))) + (((exp(cos(x0)) / -0.229) + log((((-0.674 - (log((x1 * ((-0.674 - (log((x1 * (x0 * x1))) / -0.728)) + sin(log(x1))))) / -0.728)) + log((((-0.674 - ((log(log(log(x1))) + exp(sin(log((0.689 / x1))))) / -0.728)) + log(log(exp(sin(log(x1)))))) + (x0 * x1)))) + exp(log((x0 * ((x1 * (x0 * ((log(x1) + cos(cos(0.946))) * (log((x1 * (x1 * x0))) / -0.728)))) * (x0 * x1)))))))) + (cos((x0 * x1)) + exp(sin((log(x1) + cos(cos(exp(0.89))))))))) + ((((-0.674 - (log(exp(sin(log(x1)))) / -0.728)) + log(log((((-0.674 - (log(exp(0.946)) + log(log((log(x0) + log(-0.674)))))) + log((log(x0) + log(-0.674)))) + (x0 * x1))))) / exp(sin(log(x1)))) + (exp(sin(log((x1 * (x0 * x1))))) + log((x0 * ((x1 * (x0 * ((log(x1) + cos(cos(0.946))) * (x0 * x1)))) * (x0 * x1))))))
22,4022,0.116387,0.114148,0.126089,0.111946,223,17,20000,100,2137758,7.37852,0.689804,0.540011,((0.02 * ((exp(exp(cos(log(log(log(exp((x0 + x0)))))))) - log(x1)) + (((cos(log(x1)) - (log(x1) * (log(x1) + log(x0)))) + (log(x0) + (log(x1) + (log(x1) + log(x1))))) + sin(log(x0))))) + sin(((0.02 * (((((log(x0) + log(log(x0))) + (sin(log(x0)) - cos(sin(log(x1))))) + log(x1)) + exp(exp(cos(log((log(x1) + exp(log(cos((x0 / x0)))))))))) + (log(log(exp(x0))) + ((log(log(exp((x0 + x0)))) + (cos(log(x1)) - (log(x0) * (log(sin(sin(cos(x0)))) + log(x0))))) + log((log(x1) + (log(x1) + log(x1)))))))) + sin(log(x0))))) + ((0.02 * (cos(log(log(exp(x0)))) + (((((log(x0) + cos(log(log(exp(x0))))) + (sin(log(x0)) - cos(sin((((cos(log(x0)) - (log(x1) * (log(x1) + log(x0)))) + (log(x0) + (log(x1) + (log(x1) + log(x1))))) + sin(log(x0))))))) + log(x1)) + exp(exp(cos(log((log(x1) + exp(log(cos((x0 / x0)))))))))) + (log(log(exp(x0))) + ((log(log(exp((x0 + x1)))) + (cos(log(x1)) - (log(x1) * (log(x1) + log(x0))))) + log(x1)))))) + sin(log(x1)))
23,4023,0.194308,0.224975,0.19584,0.193549,140,17,20000,100,2044324,5.55848,0.732114,0.0614224,log(exp(log(((((x0 * log(-0.464)) / log(-0.464)) * ((x0 / log(-0.464)) + ((((((x0 / x0) + log(-0.464)) / x0) + (((((0.711 + sin(log(x1))) * ((((x1 * x0) / (0.552 + -0.443)) * (x0 / x0)) + log((log(-0.464) * x1)))) / (x0 / x0)) / (0.552 + -0.443)) * (x1 * x0))) * ((((((0.711 + sin(log(x1))) * (x1 * x0)) / (x0 / x0)) * (cos(x0) + log(log((0.711 + sin(log(x1))))))) / log(-0.464)) * x1)) / x0))) * ((x1 * x0) + ((((x0 * ((x1 * x0) / log(-0.464))) / ((cos(0.907) + log(((x1 * x0) / ((x0 * ((x0 * x1) / log(-0.464))) / log(-0.464))))) + 0.457)) * ((x0 * x1) + (x1 * x0))) * log((x0 * x1))))))))
24,4024,0.282075,0.259047,0.205135,0.585026,97,17,20000,100,1123778,3.91249,1.26545,0.188179,(sin(log(x1)) * cos((sin(log(cos((sin((-0.85 + sin(cos((sin(log(cos(cos(x0)))) * cos(cos(sin(x0)))))))) / (cos((x1 / 0.622)) * x0))))) * (cos((x0 - x1)) + log((-0.85 + sin(x1))))))) - log((sin((-0.85 + sin(log(cos(((sin((-0.85 + (cos(x0) * x0))) / x1) / (cos(cos(x0)) + cos((((-0.758 * sin(x0)) / x1) / (cos(cos(x0)) + log((-0.85 + sin(x1))))))))))))) / ((x1 * (cos(x0) - cos(cos(cos((cos(x0) - cos(cos(x0)))))))) * x0)))
25,4025,0.28204,0.331826,0.282004,0.303139,94,13,20000,100,941262,2.9529,0.941581,0.0333425,log(((x1 * (x0 * (x0 * ((x0 * x1) - ((x0 * x1) * (cos((((0.09 - x0) - x0) + (cos(x0) * x1))) + ((cos(sin(log(x1))) + (x0 * x1)) + log(x0)))))))) * (x0 * (((cos((cos(cos((x0 * x1))) + (x1 - (x0 * x0)))) + x1) + (x1 * 0.017)) * (cos((cos((x0 / log(0.858))) + (x1 - (x0 * x0)))) - exp(((x0 * x1) * (cos((((0.09 - x0) - (x0 * x1)) + (x0 * x1))) + (x0 * x1)))))))))
26,4026,0.311522,0.322322,0.264827,0.452142,94,17,20000,100,1191697,3.88802,0.737756,0.196139,log((log(((log(((log((x0 * exp((log(x1) + ((x1 * x1) * (x1 * x1)))))) - exp((x0 * x0))) / cos(sin((x0 * (sin((0.134 - x1)) * log((((x0 / (0.24 / x0)) * (x1 * x1)) / cos(sin((x0 / (0.24 / x0)))))))))))) + (x1 * x1)) - cos(cos(sin(((0.24 / exp(((x0 + (x1 * x1)) + (sin(cos(x0)) - (0.24 / x0))))) * (sin(x1) * sin((x0 * (x1 * x1)))))))))) + ((x0 / (0.24 / x0)) * (x1 * x1))))
27,4027,0.23381,0.291702,0.274131,0.28163,214,17,20000,100,1931153,5.65386,0.957917,0.0401723,log(((exp(log((exp(((x1 * x0) * (x0 * x1))) - cos(x0)))) / cos(log(cos(((cos(exp(cos(x1))) + cos(x0)) * cos(x0)))))) * (((x1 * x0) * x1) * (x0 * (cos(x1) - cos(cos(x1))))))) - ((((((cos(((x1 * x0) / log((-0.441 / cos((cos(cos(cos(x0))) * ((cos(x1) - log(x1)) + log(x1)))))))) + cos(((cos(log(x1)) + cos((0.233 + exp((cos(x1) - cos(cos(x0))))))) * x0))) * cos(((cos(exp(cos(log(((x0 * cos(x0)) - cos(-0.318)))))) + cos(x1)) * cos(cos((log(x0) * cos(x0))))))) + cos((((x1 * x0) / cos(((x1 * x0) / log((-0.441 / cos((cos(cos(cos(x0))) * ((cos(x1) - log(x1)) + log(x1))))))))) - ((cos(x1) - cos(cos(x1))) * cos(exp(0.15)))))) * cos(log(x1))) + cos((((x1 * x0) / cos(((x1 * x0) / log((-0.441 / cos((cos(cos(cos(x0))) * cos(x0)))))))) - ((cos(((-0.064 * (x0 * (cos(x1) - cos(cos(x1))))) + log(cos(cos(x0))))) + cos(x0)) * cos((log(x1) + cos(((-0.064 * (x0 * cos(x0))) + log((x1 * x0)))))))))) * cos(log(x1)))
28,4028,0.224653,0.212862,0.200692,1.47966,25,13,20000,100,633426,2.28353,1.83943,0.449321,sin(exp(((cos(cos((cos(cos(cos(exp(log(x0))))) * x1))) / cos((cos(x1) * 0.255))) + cos(x1)))) - exp(cos(x0))
29,4029,0.184879,0.163295,0.153377,0.631752,121,17,20000,100,1346973,4.40971,1.20706,0.117223,((log(((exp(log(exp((sin((exp(-0.638) + log(x0))) - (cos(x1) - sin(cos(log(log(cos(x1)))))))))) - log((cos(x1) * (cos(x1) - sin(-0.466))))) + exp(log(log(x1))))) + log(x1)) - cos(cos(cos(sin((((((0.897 / 0.578) / (sin(exp(-0.005)) - (cos(x1) - sin(cos(log(log(cos(x1)))))))) + (sin(cos(cos(sin(cos(x1))))) + log((x0 * x1)))) - sin(log(x0))) - (cos(x1) - cos(x1)))))))) - (cos(0.947) - ((sin(cos(x1)) - (cos(x1) - (((log(x0) - cos(x1)) + sin(sin(log(x0)))) - (cos(x1) - sin(log(x0)))))) - (cos(x0) - cos(exp(exp(log(sin(cos(x1)))))))))
