run,seed,train,val,test,extrap,size,depth,evals,gens,nodes,time_s,a,b,expr
10,4010,0.0922859,0.106364,0.111605,0.123604,165,17,20000,100,2318619,6.67803,1.34895,0.141727,(sin((sin((sin(sin(log(x1))) / cos((((0.765 - 0.055) * -0.773) + cos(log(x1)))))) / (0.314 - -0.019))) + (((sin((sin((sin(sin(sin(log(x1)))) / cos(cos((sin(sin(sin(log(x1)))) / cos(log(x0))))))) / (0.844 - -0.019))) + ((sin(sin(sin(log(x1)))) + (log((x1 * x0)) + log(exp(sin(-0.09))))) + sin(((((log(0.314) - log(x0)) - 0.055) * -0.773) + sin(sin((((((0.765 - 0.844) * (exp(log(x0)) - exp(0.441))) + cos(cos(x1))) - log(0.314)) / sin(log(0.314))))))))) + sin((log(x0) / cos(cos((sin((sin(sin(sin(log(x1)))) / cos((sin(sin(log(x1))) * cos(cos(sin(log(x1)))))))) / log(0.314))))))) - exp(cos(0.314)))) + sin((log(x0) / cos((sin((log(x1) / cos(((((log(0.314) - log(x0)) - 0.055) * -0.773) + sin((sin(sin(sin(log(x1)))) / cos(cos((0.314 - -0.019))))))))) / (0.897 - -0.019)))))
11,4011,0.0844715,0.069215,0.0750872,0.725253,216,17,20000,100,2908110,7.61609,0.83921,-0.0598619,cos(x0) + (cos(x1) - (((((sin((log(x0) + sin(log(x0)))) + (cos(x1) + cos(exp(cos(x1))))) + (((sin((sin((sin(sin((log(x0) + log(x0)))) + sin(log(x0)))) + sin(((sin(log(x0)) - exp(cos(x1))) + (cos(x1) + cos(exp(log(x0)))))))) + (((sin(sin(sin(log(x0)))) + (cos(x1) + (cos(exp(cos(x1))) + cos(exp(cos(x1)))))) + sin(((sin(log(x0)) - sin(log(x0))) + (cos(exp(cos(x1))) + log(x1))))) + (sin((log(x0) + sin((log(x0) + sin(log(x0)))))) + exp(cos(x1))))) + sin(cos(exp(cos(x1))))) + cos(exp(cos(x1))))) + (((sin(log(x0)) + ((sin((sin(sin((log(x0) + log(x0)))) + sin(log(x0)))) + (cos(sin(sin((log(x0) + log(log(x0)))))) + (cos(exp(cos(x1))) + cos(exp(cos(x1)))))) + (cos(exp(cos(x1))) + cos(exp(cos(x1)))))) + sin(((exp(cos(x1)) - log(x0)) + (cos(exp(cos(x1))) + (sin(sin((log(x0) + log(x0)))) + sin(log(x0))))))) + (sin((log(x0) + sin(sin(log(x0))))) + sin((log(x0) + (cos(x1) + cos(x0))))))) + sin(sin(log(x1)))) + log((x1 * x0))))
12,4012,0.108321,0.103705,0.142822,0.613105,96,16,20000,100,1319709,3.48576,1.49511,-0.179301,((((exp(cos(x0)) - (log(((x1 * x1) - (-0.214 * (-0.214 * cos(((x1 * exp(cos((x0 / x0)))) - (-0.214 * exp(cos(x0))))))))) - exp(cos(x0)))) - sin(log((exp(cos(x0)) - (-0.285 * (exp(cos(x0)) - (-0.214 * (-0.214 * ((x1 * x1) - (((x1 * x1) - -0.214) * (cos(x1) * cos(sin(x0))))))))))))) - sin(sin(sin(sin(sin(log(x0))))))) - sin(log(((x1 * x1) - (-0.214 * (-0.214 * cos(((x1 * x1) - cos((x0 / x0)))))))))) - sin(log(x0))
13,4013,0.198615,0.212143,0.325348,0.570021,100,17,20000,100,1536559,4.43742,1.73128,-0.218769,(exp(cos(x0)) + exp(cos((x1 / -0.952)))) - log(((((0.188 * log(((0.188 * log(exp((sin(sin(log((-0.559 / x0)))) * exp(cos(sin(exp((x0 - x0))))))))) - (x1 - (((x0 - x0) * (x0 - x0)) / exp((((x1 / x1) * sin(log((sin(-0.471) / x0)))) / log(x1)))))))) - (x1 - ((x0 - x0) * exp((log(sin((x0 * exp(exp(cos(x0)))))) * exp(exp((x0 - x0)))))))) * ((x0 - 0.092) + (((x0 - x0) * x0) / exp((-0.567 / x0))))) - log((-0.567 / sin(-0.471)))))
14,4014,0.219694,0.133215,0.144301,1.09892,46,16,20000,100,842453,2.40275,-0.385582,0.488906,(((((cos(x1) - cos(sin(sin((sin(((cos(x1) - cos(cos(cos(x1)))) - cos(log(x1)))) - cos(log(x1))))))) - cos(cos(x1))) - cos(cos(x1))) - cos(sin((cos(log(x0)) - log(x0))))) / log(-0.396)) + sin(log(x0))
15,4015,0.27365,0.297198,0.258944,0.342626,74,17,20000,100,1165659,2.51169,1.14809,0.10131,sin(sin(sin(log(x1)))) + log(((x0 * ((sin(log((x1 * x0))) * (x0 * x1)) * (log((log(((((x1 * x0) * x1) - (cos((x1 * x0)) + x0)) * ((x1 * ((log((x1 * x0)) * (x1 * x0)) * x1)) * ((x1 * (((x1 * x0) * x1) - (cos((x1 * x0)) + x0))) * x1)))) * x1)) + log((x1 * x0))))) * (x1 * x0)))
16,4016,0.18666,0.212742,0.234545,0.316202,210,17,20000,100,2695938,7.39515,1.18199,0.0953776,(log((log(((x1 + (x1 + sin(((log(x0) * (exp(x0) / (0.181 / x1))) + log(x1))))) * x0)) * (((x1 + (log(x0) * x1)) * x0) / (-0.668 / x0)))) - (exp(cos(x1)) - sin(log(x1)))) - ((sin((log(x1) * log(((sin((0.045 / (x1 + sin(log(x1))))) - sin((log(x1) * log(x1)))) + sin(sin(0.143)))))) - sin((log(x1) * log(((log((log(((x1 + (x1 + sin(log(x1)))) * x0)) * (((x1 + (log(x0) * x1)) * x0) / log((x0 / x1))))) - log(x0)) - (sin((sin((log(x1) * log(x0))) * log(((sin((0.045 / (cos(x0) * x1))) - sin(0.143)) + sin(sin(0.143)))))) - sin((log(x1) * log(x0))))))))) - sin((log(x1) * log(((log((log(((x1 + (x1 + sin((log(x1) * log(sin(0.143)))))) * x0)) * (((x1 + ((exp(sin(0.143)) - sin(log(x1))) * x1)) * x0) / log(x1)))) - sin((0.045 / (cos(x0) * x1)))) - (sin((sin((log(x1) * log(x0))) * log(((sin((0.045 / (cos(x0) * x1))) - sin(0.143)) + sin(0.143))))) - sin((log(x1) * log((x1 / 0.202))))))))))
17,4017,0.189241,0.19591,0.217135,0.238691,178,17,20000,100,2796122,5.57038,0.992709,-0.0709966,log(((sin((log(exp(-0.311)) + (log(x0) * cos(-0.339)))) / ((x1 * x0) * ((sin((x1 * x0)) * x1) + (log((x0 / (((x1 * x0) * (x1 * x0)) + 0.499))) * (((x1 * x0) * (log(((x1 * x0) * (x1 * x0))) * x0)) + sin(((x1 * x0) * (x1 * x0)))))))) / ((log(((cos(log(x1)) * log((((x1 * x0) * (((x1 * x0) * (x1 * x0)) * ((x1 + 0.499) * log((log(((x1 * x0) * (x1 * x0))) * (x1 * x0)))))) * (log((x0 * 0.469)) * x0)))) * ((((((sin((log(x1) * x1)) * x0) * (log((log(((x1 * x0) * (x1 * x0))) * x1)) * x0)) * ((x1 + 0.499) * cos(log((x1 + 0.499))))) * ((log((x0 / (((x1 * x0) * (x1 * x0)) + 0.499))) * ((x1 * x0) + sin((log(exp(x1)) * x0)))) + (x0 * 0.469))) + 0.499) * x0))) * (log(log((x0 * 0.469))) - 0.207)) * (x1 * x0))))
18,4018,0.0939531,0.0922727,0.105903,0.624987,217,17,20000,100,2471735,6.97291,1.05395,0.0419391,(log(exp(((log(((exp(sin((sin(sin((sin(log(x1)) + log(x1)))) + log(x1)))) * (exp(sin((sin(log(x1)) + log(x1)))) * (exp(0.108) - cos(x0)))) * (x1 * (exp(((x0 - x0) + -0.419)) - cos(x0))))) + sin(log(x1))) + (log((exp(log((exp(exp(sin((log(x1) + sin(log(x1)))))) * (0.923 - cos(x0))))) * (log(cos(x0)) - ((0.46 + 0.923) / cos(x0))))) + log((sin((sin(log(x1)) + x1)) - (exp(log((exp(sin(exp(0.108))) * (exp(sin(cos(x0))) * x0)))) * (x1 * ((exp(sin((sin(log(x1)) + sin(log(x1))))) * x0) - cos(x0)))))))))) + (((log((exp(log(((exp((-0.427 / ((0.46 + 0.923) / cos(x0)))) - cos(x0)) * (x1 * (exp((x1 - x1)) - cos(x0)))))) * (x1 * x0))) + sin((sin(log(x1)) + log(x1)))) + log((cos(x0) + (x0 / 0.618)))) + sin((sin(sin((sin(log(x1)) + log(x1)))) + log(x1))))) + sin((sin(sin((sin(log(x1)) + log(((0.46 + 0.923) / cos(x0)))))) + sin((sin(sin((sin(log(x1)) + (sin(sin((sin(log(x1)) + log(x1)))) + log(x1))))) + sin(sin((sin(log(x1)) + log(x1))))))))
19,4019,0.0810188,0.0824221,0.09532,0.927247,111,16,20000,100,1411972,4.24031,1.8563,0.157411,sin(log(x1)) - (((exp(cos(x0)) - (cos(x0) - (((exp(cos((sin((log(x0) + (log(x1) * -0.047))) - -0.887))) - ((log(x1) - exp(cos(cos((cos((0.343 * -0.047)) - log(x1)))))) - exp(cos(x0)))) - cos(exp(cos(x1)))) - cos(sin(log(x1)))))) - cos((exp(cos(x0)) - (cos((log(0.786) * -0.047)) * cos((exp(cos(x0)) - (cos(cos((log(x0) + (cos(log(log(0.786))) * -0.047)))) * cos(cos((log(x0) + (0.343 * log(x1)))))))))))) - cos(cos((log(x1) - exp(cos(cos((cos((0.343 * (cos((0.343 * -0.047)) - log(x1)))) - log(x1)))))))))
