run,seed,size,train,val,expr
16,4016,4,0.697691,0.728026,sin(sin(log(x1)))
16,4016,5,0.48329,0.481685,log(x1) - cos(x0)
16,4016,6,0.40697,0.448078,sin(log(x1)) - cos(x0)
16,4016,7,0.387835,0.431088,sin((sin(log(x1)) - cos(x0)))
16,4016,10,0.376004,0.386519,sin((sin(log((sin(-0.216) + x1))) - cos(x0)))
17,4017,1,0.990203,0.933955,x0
17,4017,2,0.739861,0.744322,log(x1)
17,4017,3,0.702672,0.73423,sin(log(x1))
17,4017,4,0.433484,0.401729,log((x1 * x0))
17,4017,7,0.433484,0.401729,log(((x1 * log(-0.368)) * x0))
17,4017,9,0.384355,0.430058,log(((x1 * log((x1 * x0))) * x0))
17,4017,13,0.364751,0.371451,log(((x1 * ((x1 * log((x1 * x0))) * x0)) * x0))
18,4018,1,0.990203,0.933955,x0
18,4018,2,0.739861,0.744322,log(x1)
18,4018,3,0.702672,0.73423,sin(log(x1))
18,4018,4,0.433484,0.401729,log((x1 * x0))
18,4018,6,0.395579,0.386539,log((x1 * (-0.203 - x0)))
18,4018,16,0.323896,0.378169,exp((((-0.322 * -0.132) + (-0.562 * x0)) * ((x1 * x0) * (x1 * 0.229))))
18,4018,17,0.323871,0.376373,exp((((-0.322 * -0.132) + (sin(-0.561) * x0)) * ((x1 * x0) * (x1 * 0.229))))
19,4019,1,0.990203,0.933955,x0
19,4019,2,0.739861,0.744322,log(x1)
19,4019,3,0.702672,0.73423,sin(log(x1))
19,4019,4,0.433484,0.401729,log((x1 * x0))
19,4019,6,0.433484,0.401729,log((x1 * exp(log(x0))))
20,4020,1,0.990203,0.933955,x0
20,4020,2,0.739861,0.744322,log(x1)
20,4020,3,0.702672,0.73423,sin(log(x1))
20,4020,4,0.433484,0.401729,log((x1 * x0))
20,4020,6,0.373098,0.380262,exp(cos(x0)) + cos(x1)
20,4020,7,0.273501,0.262574,exp(cos(x0)) + exp(cos(x1))
21,4021,1,0.990203,0.933955,x0
21,4021,2,0.739861,0.744322,log(x1)
21,4021,3,0.702672,0.73423,sin(log(x1))
21,4021,4,0.433484,0.401729,log((x0 * x1))
21,4021,4,0.433484,0.401729,log((x1 * x0))
21,4021,6,0.422505,0.407934,log(x1) + sin(log(x0))
21,4021,7,0.28948,0.260431,sin(log(x1)) + sin(log(x0))
21,4021,8,0.278712,0.252204,sin(log(x1)) + sin(sin(log(x0)))
21,4021,19,0.276014,0.266969,sin(sin(sin(log(x1)))) + (sin(sin(log(x1))) + (sin(log(x0)) + log((x1 * x0))))
21,4021,23,0.213644,0.197484,sin(sin(log(x1))) + (sin(log((x0 * x0))) + (sin(log(x0)) + (sin(log(x1)) + log((x1 * x0)))))
22,4022,1,0.990203,0.933955,x0
22,4022,2,0.739861,0.744322,log(x1)
22,4022,3,0.702672,0.73423,sin(log(x1))
22,4022,4,0.433484,0.401729,log((x1 * x0))
22,4022,6,0.387503,0.386766,log((x1 * (x0 - -0.031)))
22,4022,9,0.383973,0.387886,log((x1 * (exp(sin(log(x1))) * x0)))
22,4022,10,0.375344,0.402088,log((x1 * ((x1 * (x0 - 0.345)) * x0)))
22,4022,11,0.360568,0.388292,log((x1 * (exp(sin(log(x1))) * (x0 - -0.031))))
22,4022,12,0.351731,0.372743,log((x1 * (exp(sin(sin(log(x1)))) * (x0 - -0.031))))
22,4022,13,0.346335,0.388395,log((x1 * (exp((x1 * ((x1 * x0) * x0))) * x0)))
22,4022,15,0.341477,0.365871,log((x1 * (exp(sin(log(x1))) * ((x1 * (x0 - 0.345)) * x0))))
22,4022,18,0.335969,0.388062,log((x1 * (exp(sin(log(log((x1 * x0))))) * ((x1 * (x0 - 0.345)) * x0))))
23,4023,1,0.990203,0.933955,x0
23,4023,2,0.739861,0.744322,log(x1)
23,4023,3,0.705523,0.688081,exp(cos(x1))
23,4023,4,0.433484,0.401729,log((x0 * x1))
23,4023,6,0.389523,0.389324,exp(cos(x0)) - log(x1)
23,4023,8,0.365558,0.383404,exp(cos((x0 * -0.793))) - log(x1)
23,4023,10,0.281334,0.27047,cos(x0) - (cos(cos(x0)) - exp(cos(x1)))
23,4023,12,0.228029,0.198374,exp(cos(x0)) - (sin(cos(cos(x0))) - exp(cos(x1)))
23,4023,14,0.208151,0.179246,exp(cos(x0)) - (sin(exp(cos(exp(cos(x0))))) - exp(cos(x1)))
24,4024,1,0.990203,0.933955,x0
24,4024,2,0.739861,0.744322,log(x1)
24,4024,3,0.702672,0.73423,sin(log(x1))
24,4024,4,0.433484,0.401729,log((x1 * x0))
24,4024,6,0.396364,0.339133,cos(x1) - sin(log(x0))
24,4024,7,0.339488,0.31743,sin((cos(x1) - sin(log(x0))))
25,4025,1,0.990203,0.933955,x0
25,4025,2,0.739861,0.744322,log(x1)
25,4025,3,0.702672,0.73423,sin(log(x1))
25,4025,4,0.433484,0.401729,log((x0 * x1))
25,4025,6,0.389523,0.389324,exp(cos(x0)) - log(x1)
25,4025,7,0.308628,0.339724,exp(cos(x0)) - sin(log(x1))
26,4026,1,0.990203,0.933955,x0
26,4026,2,0.739861,0.744322,log(x1)
26,4026,3,0.702672,0.73423,sin(log(x1))
26,4026,4,0.433484,0.401729,log((x1 * x0))
26,4026,6,0.422505,0.407934,sin(log(x0)) + log(x1)
26,4026,7,0.28948,0.260431,sin(log(x0)) + sin(log(x1))
26,4026,8,0.278712,0.252204,sin(sin(log(x0))) + sin(log(x1))
26,4026,9,0.262342,0.229323,sin(sin(log(x0))) + sin(sin(log(x1)))
26,4026,10,0.255492,0.223886,sin(sin(sin(log(x0)))) + sin(sin(log(x1)))
27,4027,1,0.990203,0.933955,x0
27,4027,2,0.739861,0.744322,log(x1)
27,4027,3,0.702672,0.73423,sin(log(x1))
27,4027,4,0.433484,0.401729,log((x0 * x1))
27,4027,4,0.433484,0.401729,log((x1 * x0))
27,4027,6,0.380318,0.416172,log(((0.053 - x0) * x1))
27,4027,11,0.368865,0.406994,log((exp(((x0 * x1) * (x0 * x1))) * x0))
27,4027,11,0.368865,0.406994,log((exp(((x0 * x1) * (x1 * x0))) * x0))
27,4027,11,0.368865,0.406994,log((exp(((x1 * x0) * (x0 * x1))) * x0))
27,4027,11,0.368865,0.406994,log((exp(((x1 * x0) * (x1 * x0))) * x0))
27,4027,13,0.338885,0.373429,log(((exp(((x0 * x1) * (x1 * x0))) * x0) - x0))
27,4027,13,0.338885,0.373429,log(((exp(((x1 * x0) * (x0 * x1))) * x0) - x0))
27,4027,13,0.338885,0.373429,log(((exp(((x1 * x0) * (x1 * x0))) * x0) - x0))
27,4027,15,0.322766,0.362597,log((((exp(((x1 * x0) * (x0 * x1))) * x0) - x0) * x1))
27,4027,15,0.322766,0.362597,log((((exp(((x1 * x0) * (x1 * x0))) * x0) - x0) * x1))
27,4027,17,0.298315,0.363394,log((((exp(((x1 * x0) * (x0 * x1))) * x0) - x0) * (x1 * x0)))
27,4027,25,0.292159,0.356974,log((((exp(log((exp(((x0 * x1) * (x0 * x1))) * x0))) * (x1 * x0)) * (x0 * (x0 * x1))) * x1))
27,4027,25,0.292159,0.356974,log((((exp(log((exp(((x0 * x1) * (x0 * x1))) * x0))) * (x1 * x0)) * (x0 * (x1 * x0))) * x1))
27,4027,27,0.291801,0.360592,log((((exp(log((exp(((x0 * x1) * (x0 * x1))) * x0))) * (x1 * x0)) * (x0 * ((0.053 - x0) * x1))) * x1))
27,4027,27,0.291801,0.360592,log((((exp(log((exp(((x1 * x0) * (x0 * x1))) * x0))) * (x1 * x0)) * (x0 * ((0.053 - x0) * x1))) * x1))
28,4028,1,0.990203,0.933955,x0
28,4028,2,0.739861,0.744322,log(x1)
28,4028,3,0.702672,0.73423,sin(log(x1))
28,4028,4,0.433484,0.401729,log((x0 * x1))
28,4028,6,0.389523,0.389324,exp(cos(x0)) - log(x1)
28,4028,7,0.308628,0.339724,exp(cos(x0)) - sin(log(x1))
29,4029,1,0.990203,0.933955,x0
29,4029,2,0.739861,0.744322,log(x1)
29,4029,3,0.702672,0.73423,sin(log(x1))
29,4029,4,0.697691,0.728026,sin(sin(log(x1)))
29,4029,5,0.463902,0.487235,cos(x1) + cos(x0)
29,4029,6,0.373098,0.380262,cos(x1) + exp(cos(x0))
29,4029,7,0.308628,0.339724,sin(log(x1)) - exp(cos(x0))
