i,water,deficit,wet,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
43,144.324,16.5319,15.9874,0.810216,0.919857,8.70296,4.17829,4.19927,10.655,5.54296,0.0776403,11.7949,5.30214,6.2418,1.61606,12.8708,4.74426,3.41875,3.5292,0.9137,10.7808,1.69639,3.27054,0,11.7655,2.08661,3.91884,6.12345,2.85242,1.4367,5.63084,3.4076,5.83702
44,142.141,18.1108,15.4683,1.22928,0.576424,9.17914,4.15285,4.2031,10.5056,5.36166,0.147347,11.6399,5.65066,6.18415,1.65288,11.4466,1.4539,9.15066,3.48875,1.22676,10.1054,1.18292,0.446568,0.0161649,11.988,2.08553,3.93522,7.62072,2.99087,1.2706,5.50249,1.71493,6.03235
45,122.24,74.6038,8.17925,5.43635,4.46834,1.23601,3.41264,1.47172,8.0727,5.98236,2.57655,9.06902,0.62702,2.37308,2.6712,8.83117,5.432,0.373411,2.62341,0.863475,11.7856,1.06598,3.1656,1.00111,7.8148,0.345788,2.30784,4.16746,0.567898,1.50628,4.18371,15.4784,3.32952
46,156.161,4.98638,19.7207,0.914278,0.0634129,10.2815,3.889,6.31357,9.80193,5.1395,0.353898,13.8069,5.49845,2.72432,5.15198,11.2707,4.41437,4.32022,6.40494,3.88083,13.2917,1.23709,0.0427977,0.0067642,13.287,0.42746,1.93154,6.22958,7.35277,0.918477,4.753,6.74822,5.70485
47,120.08,79.8216,7.62801,5.67618,4.51241,1.23601,3.24791,1.47172,7.69755,6.02739,2.4018,9.1053,0.648384,2.46684,2.6546,6.82397,5.47008,0.408264,2.61654,0.83935,12.1825,1.06599,3.15506,1.00111,7.9652,0.378208,2.3046,3.99329,0.146361,1.50711,4.29301,15.4539,3.32952
48,121.497,76.551,7.97697,5.37019,4.40598,1.14077,3.40909,1.46516,8.22559,6.0318,2.60337,9.06902,0.62702,1.60796,2.6712,8.85983,5.432,0.376241,2.61731,0.870031,11.7712,1.06896,3.30204,1.00176,7.80402,0.331358,2.28212,4.16746,0.567898,1.50917,4.18371,15.395,3.32948
49,112.033,102.703,5.9093,1.11942,3.44621,8.29135,0.411604,0.817733,6.03225,4.43307,1.20683,9.91913,2.49306,3.11588,0.585184,8.07923,3.94521,3.09736,1.38918,2.23535,12.3927,0.768847,1.32948,0.379879,8.14236,0.0537849,0.00753295,2.6289,0.971653,0.160484,4.32238,14.1124,6.14423
50,164.254,0.397413,22.6722,2.57994,0.266057,10.0984,5.17851,1.83133,8.64299,6.35849,2.465,14.3451,5.60351,4.61192,5.19346,14.6563,4.14579,5.65268,4.78086,2.18004,13.633,0.99489,3.08267,0.00548773,9.80837,1.45303,3.0841,6.86194,5.97064,0.936013,6.62377,7.12131,6.08886
51,78.8355,193.894,3.64573,1.60814,0.683969,5.99964,2.11328,1.67499,3.69304,3.83078,0.99443,2.2142,1.75405,4.05948,0,5.02225,3.83347,0.0792402,1.16907,0.30112,13.6352,0.12609,1.93777,0.0284256,2.6803,0.460371,0.0506769,0.747589,2.02431,0.83589,3.62443,11.2429,2.41034
52,100.967,142.96,4.06329,0.294303,0.842471,6.54546,0.079544,0.864848,5.83656,5.97361,1.80306,10.6678,0,3.67103,1.1633,1.6502,0.888086,1.61343,1.68547,1.75734,14.0146,1.22256,1.0001,3.49023e-05,6.96841,3.64187,3.54129,0.35139,0.184259,1.03938,7.39274,12.8879,3.38602
