run,seed,water,deficit,wet
4,3004,133.793,9.97493,20.4994
4,3004,101.228,72.3964,13.8451
4,3004,73.766,160.203,6.41232
4,3004,153.618,0.294353,32.0774
4,3004,150.91,0.777431,26.9243
4,3004,34.8892,343.121,2.68471
4,3004,105.945,70.1736,9.74359
4,3004,29.8184,437.5,1.32143
4,3004,120.132,38.281,13.9778
4,3004,28.9009,385.557,1.79431
4,3004,151.567,0.478983,30.634
4,3004,132.941,11.173,20.1088
4,3004,156.988,0,23.0899
4,3004,141.645,4.6452,24.3024
4,3004,97.8598,87.1421,8.04254
4,3004,107.951,53.82,12.2095
4,3004,62.5656,210.684,5.4954
4,3004,66.4185,192.584,6.58723
4,3004,84.5877,113.437,8.20242
4,3004,54.2872,249.037,3.33461
4,3004,91.8669,101.585,7.77936
4,3004,149.279,0.896753,29.5449
4,3004,48.8229,291.421,2.78049
4,3004,147.599,2.0605,26.5668
4,3004,129.719,15.1017,18.952
4,3004,76.4383,158.536,5.31113
4,3004,117.093,36.2742,15.1082
5,3005,157.063,0,23.582
5,3005,10.8526,503.861,1.19292
5,3005,156.726,0.0146636,38.0264
5,3005,8.35416,497.341,1.41233
5,3005,164.713,0.127279,23.5076
5,3005,147.965,1.20735,26.22
5,3005,143.102,2.63565,24.5151
5,3005,159.237,1.42119,21.6144
5,3005,66.7929,183.019,6.76714
5,3005,48.2426,287.854,3.17685
5,3005,34.184,385.43,1.94108
5,3005,156.689,0.0180114,32.7827
5,3005,152.62,0.384232,30.6871
5,3005,139.61,4.17821,22.6583
5,3005,54.0129,258.302,3.3851
5,3005,107.843,62.2574,10.9344
5,3005,53.0993,276.979,3.27741
5,3005,55.5466,249.988,3.5056
5,3005,155.295,0.143494,35.443
5,3005,71.7737,164.373,6.14617
5,3005,68.6055,174.099,6.85473
5,3005,19.6254,455.109,1.57431
5,3005,154.638,0.202592,36.8356
5,3005,24.6264,424.841,1.6795
5,3005,63.4042,207.717,4.13268
5,3005,22.7944,458.806,1.21591
5,3005,80.5231,128.647,9.20477
5,3005,26.6582,408.414,1.92414
5,3005,150.945,0.641759,26.9147
5,3005,29.3495,396.753,1.80906
5,3005,45.4709,302.803,2.76137
5,3005,145.156,1.9237,28.4924
5,3005,43.7843,307.716,2.90393
5,3005,35.7021,353.692,2.77126
5,3005,103.742,73.3176,9.51011
5,3005,40.0935,370.306,1.98671
5,3005,60.0587,233.279,3.56905
5,3005,64.5587,191.426,5.68471
5,3005,41.6315,317.751,2.81262
5,3005,79.141,142.124,7.74281
5,3005,149.271,0.86659,29.3915
5,3005,98.2629,74.3966,15.2504
5,3005,110.1,53.1535,12.1348
5,3005,65.6005,212.376,3.64394
5,3005,90.858,103.867,8.12203
5,3005,42.548,321.202,2.73184
5,3005,34.9614,375.909,2.13312
5,3005,28.4996,422.556,1.66444
5,3005,69.3928,199.867,3.59731
5,3005,74.988,149.798,7.9068
5,3005,121.87,34.0361,14.0742
5,3005,89.2282,100.98,12.5332
5,3005,72.5946,162.04,6.06802
5,3005,86.3392,112.855,9.10703
5,3005,57.2948,240.474,3.54755
5,3005,73.643,153.695,7.26119
5,3005,21.769,438.366,1.59223
5,3005,39.9475,328.628,2.46023
5,3005,76.7961,147.934,7.14492
5,3005,129.953,17.017,17.6188
5,3005,154.339,0.229503,34.8935
5,3005,164.555,0.0784285,23.5419
5,3005,132.601,12.4027,18.9532
5,3005,96.0721,80.007,14.5802
5,3005,136.912,8.7002,19.7494
5,3005,120.449,41.3892,12.7502
5,3005,120.784,27.7041,15.7719
5,3005,85.8184,156.473,4.53563
5,3005,140,7.21346,20.2024
5,3005,122.467,24.9233,16.2164
5,3005,15.9089,472.64,1.34626
5,3005,84.9952,116.34,8.96672
5,3005,153.616,0.294534,33.4255
5,3005,83.2488,164.243,4.70794
5,3005,138.523,5.03408,20.9188
5,3005,37.4036,345.371,2.90261
5,3005,93.9571,96.8926,8.39511
5,3005,78.1479,143.498,7.06771
5,3005,123.451,23.6883,16.4125
5,3005,149.608,0.785817,29.6994
5,3005,115.592,51.2426,11.456
5,3005,20.9654,447.219,1.61413
5,3005,141.261,10.0772,19.2969
5,3005,38.7353,337.083,2.98376
5,3005,29.0924,393.129,2.00858
5,3005,101.548,66.7946,16.5538
5,3005,100.166,92.4981,7.52545
5,3005,63.7854,223.469,2.88213
5,3005,131.575,13.8859,18.5892
5,3005,149.914,0.733543,34.0423
5,3005,64.8982,192.046,5.32352
5,3005,50.9491,284.26,2.76244
